IP, Port, Phone_IP,Phone_Port, Seed, Topfile, Interest_hybrid_name, Weight_dist, Range_dist, Link_dist, Success_thresh, Phone_node_connect_order_dist, Phone_node_connect_order, Velocity_dist,Velocity, Pktgen_num, Top_thresh, Linger_dist, Linger, Delta_dist, Delta, Timeout, Phone_test, iperf_test, total_delay, timeout_counter, linger_timeout_counter, delta_timeout_counter, internal_timeout_counter, num_failure, dropped_packets_percent, rec_data, precache_check, num_pro_del, num_infrastructure, num_precache, num_cache_hit
localhost,8080,192.168.1.207,9095,0,topology.txt,VA/Fairfax/GMU/CS/actionOn:1R153AN,"uniform:0, 1","uniform:0, 2","uniform:1, 1","0, 0","10:uniform:0, 8","[4, 5, 4, 4, 3, 5, 3, 7, 7, 3]","uniform:0, 2","[np.float64(1.5834500761653292), np.float64(1.057789839505809), np.float64(1.1360891221878646), np.float64(1.851193276585322), np.float64(0.14207211639577388), np.float64(0.17425859940308142), np.float64(0.04043679488065144), np.float64(1.665239691095876), np.float64(1.556313501899701), np.float64(1.7400242964936383)]",5,"uniform:0, 0","uniform:0, 2",[np.float64(0.6308567018483677)],"3:uniform:10, 10","[np.float64(10.0), np.float64(10.0), np.float64(10.0)]",5,False,False,0.289587497711182,0,0,0,0,0,0, True, False,1,0,5,0
localhost,8080,192.168.1.207,9095,1,topology.txt,VA/Fairfax/GMU/CS/actionOn:1R153AN,"uniform:0, 1","uniform:0, 2","uniform:1, 1","0, 0","10:uniform:0, 8","[3, 5, 0, 2, 1, 0, 1, 2, 3, 4]","uniform:0, 2","[np.float64(0.8383890288065896), np.float64(1.370439000793519), np.float64(0.40890449946303487), np.float64(1.7562348727818908), np.float64(0.05477518639585233), np.float64(1.3409350203568045), np.float64(0.8346096047342539), np.float64(1.1173796568915033), np.float64(0.28077387719046754), np.float64(0.3962029781697576)]",5,"uniform:0, 0","uniform:0, 2",[np.float64(0.5755506771726975)],"3:uniform:10, 10","[np.float64(10.0), np.float64(10.0), np.float64(10.0)]",5,False,False,0.214775562286377,0,0,0,0,0,0, True, False,1,0,5,0
localhost,8080,192.168.1.207,9095,2,topology.txt,VA/Fairfax/GMU/CS/actionOn:1R153AN,"uniform:0, 1","uniform:0, 2","uniform:1, 1","0, 0","10:uniform:0, 8","[3, 0, 4, 3, 3, 2, 1, 4, 2, 2]","uniform:0, 2","[np.float64(1.2422676655385898), np.float64(1.0582841885540781), np.float64(0.2691598906898671), np.float64(1.0271562425314928), np.float64(0.36887973129383056), np.float64(1.570670295633347), np.float64(1.7079505852789776), np.float64(0.9884736747638556), np.float64(1.693122970714936), np.float64(0.159290954018122)]",5,"uniform:0, 0","uniform:0, 2",[np.float64(1.0712083469953126)],"3:uniform:10, 10","[np.float64(10.0), np.float64(10.0), np.float64(10.0)]",5,False,False,0.204349756240845,0,0,0,0,0,0, True, False,1,0,0,0
localhost,8080,192.168.1.207,9095,3,topology.txt,VA/Fairfax/GMU/CS/actionOn:1R153AN,"uniform:0, 1","uniform:0, 2","uniform:1, 1","0, 0","10:uniform:0, 8","[4, 5, 2, 4, 7, 7, 1, 1, 0, 3]","uniform:0, 2","[np.float64(0.05975242175713391), np.float64(0.9136664487894222), np.float64(1.2982880952295215), np.float64(0.5569745652959506), np.float64(1.3525098039602625), np.float64(1.1817256348327017), np.float64(0.04796376475433073), np.float64(1.117708175981764), np.float64(0.5185048938149308), np.float64(0.8302023940201393)]",5,"uniform:0, 0","uniform:0, 2",[np.float64(0.5559550132472026)],"3:uniform:10, 10","[np.float64(10.0), np.float64(10.0), np.float64(10.0)]",5,False,False,0.319882154464722,0,0,0,0,0,0, True, False,1,0,5,0
localhost,8080,192.168.1.207,9095,4,topology.txt,VA/Fairfax/GMU/CS/actionOn:1R153AN,"uniform:0, 1","uniform:0, 2","uniform:1, 1","0, 0","10:uniform:0, 8","[7, 4, 7, 5, 5, 1, 7, 0, 2, 3]","uniform:0, 2","[np.float64(1.558765843587505), np.float64(0.39537014920050617), np.float64(1.7259864711984445), np.float64(1.9668013543506255), np.float64(0.32768448280939744), np.float64(1.1946678878657184), np.float64(0.017972195335109964), np.float64(0.7731425652872588), np.float64(0.08832011586299915), np.float64(1.9133059354284718)]",5,"uniform:0, 0","uniform:0, 2",[np.float64(1.109481725885117)],"3:uniform:10, 10","[np.float64(10.0), np.float64(10.0), np.float64(10.0)]",5,False,False,0.32004714012146,0,0,0,0,0,0, True, False,1,0,0,0
localhost,8080,192.168.1.207,9095,5,topology.txt,VA/Fairfax/GMU/CS/actionOn:1R153AN,"uniform:0, 1","uniform:0, 2","uniform:1, 1","0, 0","10:uniform:0, 8","[1, 6, 1, 7, 3, 4, 6, 4, 2, 1]","uniform:0, 2","[np.float64(0.16148253752974973), np.float64(1.47688059239794), np.float64(0.8826184457919062), np.float64(0.3166197354253024), np.float64(1.7598740624025577), np.float64(0.5481729239844493), np.float64(0.8284700381621026), np.float64(0.5921598654672959), np.float64(1.2575758177589667), np.float64(1.15967562037909)]",5,"uniform:0, 0","uniform:0, 2",[np.float64(1.6274649551738363)],"3:uniform:10, 10","[np.float64(10.0), np.float64(10.0), np.float64(10.0)]",5,False,False,0.264678478240967,0,0,0,0,0,0, True, False,1,0,3,0
localhost,8080,192.168.1.207,9095,6,topology.txt,VA/Fairfax/GMU/CS/actionOn:1R153AN,"uniform:0, 1","uniform:0, 2","uniform:1, 1","0, 0","10:uniform:0, 8","[7, 2, 6, 0, 0, 4, 4, 3, 2, 4]","uniform:0, 2","[np.float64(0.8762828522177482), np.float64(1.4717642126973804), np.float64(1.0360728239985375), np.float64(1.1577172004523142), np.float64(1.2907101917911876), np.float64(1.9804485427468328), np.float64(1.6397163938436827), np.float64(0.8264018696323616), np.float64(1.7525353104132548), np.float64(1.6475188651410426)]",5,"uniform:0, 0","uniform:0, 2",[np.float64(0.7967458376225665)],"3:uniform:10, 10","[np.float64(10.0), np.float64(10.0), np.float64(10.0)]",5,False,False,0.361324548721313,0,0,0,0,0,0, True, False,1,0,5,0
localhost,8080,192.168.1.207,9095,7,topology.txt,VA/Fairfax/GMU/CS/actionOn:1R153AN,"uniform:0, 1","uniform:0, 2","uniform:1, 1","0, 0","10:uniform:0, 8","[0, 6, 3, 5, 7, 4, 4, 0, 2, 3]","uniform:0, 2","[np.float64(1.358459992241881), np.float64(1.607478072208751), np.float64(0.7618822662970768), np.float64(0.13187269381181022), np.float64(0.5762911986159871), np.float64(1.8191870554392273), np.float64(0.426770707159831), np.float64(0.9042479236353662), np.float64(1.8624120393780434), np.float64(0.049798455100696026)]",5,"uniform:0, 0","uniform:0, 2",[np.float64(0.3609032384053632)],"3:uniform:10, 10","[np.float64(10.0), np.float64(10.0), np.float64(10.0)]",5,False,False,0.352084398269653,0,0,0,0,0,0, True, False,1,0,5,0
localhost,8080,192.168.1.207,9095,8,topology.txt,VA/Fairfax/GMU/CS/actionOn:1R153AN,"uniform:0, 1","uniform:0, 2","uniform:1, 1","0, 0","10:uniform:0, 8","[6, 7, 6, 4, 1, 0, 3, 3, 4, 3]","uniform:0, 2","[np.float64(1.1107129476446609), np.float64(1.0867720350850807), np.float64(1.521791151205858), np.float64(1.4247491481641825), np.float64(1.2393641922068792), np.float64(0.8521835409523844), np.float64(0.5781500560361754), np.float64(1.9477104824008924), np.float64(0.6675480910213407), np.float64(0.43760212163965595)]",5,"uniform:0, 0","uniform:0, 2","[np.float64(0.0778245952846437), np.float64(0.8928458150358052)]","3:uniform:10, 10","[np.float64(10.0), np.float64(10.0), np.float64(10.0)]",5,False,False,0.538356545281592,1,1,0,0,0,0, True, False,2,0,10,0
localhost,8080,192.168.1.207,9095,9,topology.txt,VA/Fairfax/GMU/CS/actionOn:1R153AN,"uniform:0, 1","uniform:0, 2","uniform:1, 1","0, 0","10:uniform:0, 8","[0, 4, 3, 1, 1, 1, 3, 1, 0, 2]","uniform:0, 2","[np.float64(0.33355269306464286), np.float64(1.757118171065318), np.float64(1.901928063253433), np.float64(0.07749675166463965), np.float64(1.398214782797522), np.float64(1.1455196311388185), np.float64(1.7960142364502991), np.float64(1.3337979458392732), np.float64(1.0956755660929631), np.float64(1.4048548481361105)]",5,"uniform:0, 0","uniform:0, 2",[np.float64(1.8504001545422148)],"3:uniform:10, 10","[np.float64(10.0), np.float64(10.0), np.float64(10.0)]",5,False,False,0.351704359054565,0,0,0,0,0,0, True, False,1,0,4,0
